surname	results	source
Безносиков	17	Wikipedia Russia
Безродных	56	Wikipedia Russia
Безуглый	101	Wikipedia Russia
Безух	13	Wikipedia Russia
Бейзель	1	Wikipedia Russia
Бейлинсон	34	Wikipedia Russia
Бекман	401	Wikipedia Russia
Беланова	26	Wikipedia Russia
Белевич	107	Wikipedia Russia
Беленкина	6	Wikipedia Russia
Беликович	47	Wikipedia Russia
Белима	3	Wikipedia Russia
Белимов	16	Wikipedia Russia
Белишева	4	Wikipedia Russia
Белоголова	5	Wikipedia Russia
Белоголовкин	2	Wikipedia Russia
Белогубова	8	Wikipedia Russia
Белогуров	58	Wikipedia Russia
Белокрылов	15	Wikipedia Russia
Белорукова	11	Wikipedia Russia
Белорусов	933	Wikipedia Russia
Белорусова	2	Wikipedia Russia
Белугин	55	Wikipedia Russia
Белык	1	Wikipedia Russia
Бельков	103	Wikipedia Russia
Белькович	51	Wikipedia Russia
Белянина	54	Wikipedia Russia
Беляшов	6	Wikipedia Russia
Бенделиани	16	Wikipedia Russia
Бендер	1225	Wikipedia Russia
Бендерский	133	Wikipedia Russia
Бенземан	8	Wikipedia Russia
Бентлей	26	Wikipedia Russia
Бергавинов	8	Wikipedia Russia
Бергстром	49	Wikipedia Russia
Березнер	24	Wikipedia Russia
Березний	7	Wikipedia Russia
Берестовский	96	Wikipedia Russia
Беркин	16	Wikipedia Russia
Беркуль	2	Wikipedia Russia
Беркутенко	6	Wikipedia Russia
Берлинских	352	Wikipedia Russia
Бернвальд	2	Wikipedia Russia
Берры	2	Wikipedia Russia
Берсонов	1	Wikipedia Russia
Бертельсон	3	Wikipedia Russia
Берх	68	Wikipedia Russia
Берцинская	1	Wikipedia Russia
Беспалая	21	Wikipedia Russia
Беспалый	209	Wikipedia Russia
Беспрозванная	6	Wikipedia Russia
Беспятных	2	Wikipedia Russia
Бетехтина	12	Wikipedia Russia
Бетлингк	5	Wikipedia Russia
Бетту	6	Wikipedia Russia
Бехтольд	18	Wikipedia Russia
Бижигитов	3	Wikipedia Russia
Бизюк	13	Wikipedia Russia
Биккенина	2	Wikipedia Russia
Бикмухаметов	11	Wikipedia Russia
Биленко	25	Wikipedia Russia
Биненко	2	Wikipedia Russia
Бирин	51	Wikipedia Russia
Бирина	7	Wikipedia Russia
